2020-05-08 14:28:32 status unpacked libsystemd0:armhf 232-25+deb9u12
2020-05-08 14:28:32 install libudev1:armhf <none> 232-25+deb9u12
2020-05-08 14:28:32 status half-installed libudev1:armhf 232-25+deb9u12
2020-05-08 14:28:32 status unpacked libudev1:armhf 232-25+deb9u12
2020-05-08 14:28:32 status unpacked libudev1:armhf 232-25+deb9u12
2020-05-08 14:28:32 install sysvinit-utils:armhf <none> 2.88dsf-59.9
2020-05-08 14:28:32 status half-installed sysvinit-utils:armhf 2.88dsf-59.9
2020-05-08 14:28:32 status unpacked sysvinit-utils:armhf 2.88dsf-59.9
2020-05-08 14:28:32 status unpacked sysvinit-utils:armhf 2.88dsf-59.9
2020-05-08 14:28:32 install tar:armhf <none> 1.29b-1.1
2020-05-08 14:28:32 status half-installed tar:armhf 1.29b-1.1
2020-05-08 14:28:33 status unpacked tar:armhf 1.29b-1.1
2020-05-08 14:28:33 status unpacked tar:armhf 1.29b-1.1
2020-05-08 14:28:33 install tzdata:all <none> 2019c-0+deb9u1
2020-05-08 14:28:33 status half-installed tzdata:all 2019c-0+deb9u1
2020-05-08 14:28:33 status unpacked tzdata:all 2019c-0+deb9u1
2020-05-08 14:28:33 status unpacked tzdata:all 2019c-0+deb9u1
2020-05-08 14:28:33 install libustr-1.0-1:armhf <none> 1.0.4-6
2020-05-08 14:28:33 status half-installed libustr-1.0-1:armhf 1.0.4-6
2020-05-08 14:28:34 status unpacked libustr-1.0-1:armhf 1.0.4-6
2020-05-08 14:28:34 status unpacked libustr-1.0-1:armhf 1.0.4-6
2020-05-08 14:28:34 install bsdutils:armhf <none> 1:2.29.2-1+deb9u1
2020-05-08 14:28:34 status half-installed bsdutils:armhf 1:2.29.2-1+deb9u1
2020-05-08 14:28:34 status unpacked bsdutils:armhf 1:2.29.2-1+deb9u1
2020-05-08 14:28:34 status unpacked bsdutils:armhf 1:2.29.2-1+deb9u1
2020-05-08 14:28:34 install libblkid1:armhf <none> 2.29.2-1+deb9u1
2020-05-08 14:28:34 status half-installed libblkid1:armhf 2.29.2-1+deb9u1
2020-05-08 14:28:34 status unpacked libblkid1:armhf 2.29.2-1+deb9u1
2020-05-08 14:28:34 status unpacked libblkid1:armhf 2.29.2-1+deb9u1
2020-05-08 14:28:34 install libfdisk1:armhf <none> 2.29.2-1+deb9u1
2020-05-08 14:28:34 status half-installed libfdisk1:armhf 2.29.2-1+deb9u1
2020-05-08 14:28:34 status unpacked libfdisk1:armhf 2.29.2-1+deb9u1
2020-05-08 14:28:34 status unpacked libfdisk1:armhf 2.29.2-1+deb9u1
2020-05-08 14:28:34 install libmount1:armhf <none> 2.29.2-1+deb9u1
2020-05-08 14:28:34 status half-installed libmount1:armhf 2.29.2-1+deb9u1
2020-05-08 14:28:35 status unpacked libmount1:armhf 2.29.2-1+deb9u1
2020-05-08 14:28:35 status unpacked libmount1:armhf 2.29.2-1+deb9u1
2020-05-08 14:28:35 install libsmartcols1:armhf <none> 2.29.2-1+deb9u1
2020-05-08 14:28:35 status half-installed libsmartcols1:armhf 2.29.2-1+deb9u1
2020-05-08 14:28:35 status unpacked libsmartcols1:armhf 2.29.2-1+deb9u1
2020-05-08 14:28:35 status unpacked libsmartcols1:armhf 2.29.2-1+deb9u1
2020-05-08 14:28:35 install libuuid1:armhf <none> 2.29.2-1+deb9u1
2020-05-08 14:28:35 status half-installed libuuid1:armhf 2.29.2-1+deb9u1
2020-05-08 14:28:35 status unpacked libuuid1:armhf 2.29.2-1+deb9u1
2020-05-08 14:28:35 status unpacked libuuid1:armhf 2.29.2-1+deb9u1
2020-05-08 14:28:35 install mount:armhf <none> 2.29.2-1+deb9u1
2020-05-08 14:28:35 status half-installed mount:armhf 2.29.2-1+deb9u1
2020-05-08 14:28:35 status unpacked mount:armhf 2.29.2-1+deb9u1
